タイトル,メモ,URL,コメント
World Revival Church Assembléia de Deus em Shimizu,,https://www.google.com/maps/place/World+Revival+Church+Assembl%C3%A9ia+de+Deus+em+Shimizu/data=!4m2!3m1!1s0x601a35fbbba2349f:0xac20ecbc37f2ae67,
東松山聖ルカ教会,,https://www.google.com/maps/place/%E6%9D%B1%E6%9D%BE%E5%B1%B1%E8%81%96%E3%83%AB%E3%82%AB%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018d53e6ddfd867:0xf4d73e5847f170b7,
嵐山チャペル,,https://www.google.com/maps/place/%E5%B5%90%E5%B1%B1%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x1525d3cbdf3c8cdb:0x7becd9968a4e75c3,
むさし野神の愛教会 鳩山タウンチャペル,,https://www.google.com/maps/place/%E3%82%80%E3%81%95%E3%81%97%E9%87%8E%E7%A5%9E%E3%81%AE%E6%84%9B%E6%95%99%E4%BC%9A+%E9%B3%A9%E5%B1%B1%E3%82%BF%E3%82%A6%E3%83%B3%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x60192a76b3182a47:0xf08b56b5f12240ca,
Mitsukaido Shalom Church,,https://www.google.com/maps/place/Mitsukaido+Shalom+Church/data=!4m2!3m1!1s0x6018a033c0d35235:0x8541a36347e1e8ab,
聖学院大学 チャペル,,https://www.google.com/maps/place/%E8%81%96%E5%AD%A6%E9%99%A2%E5%A4%A7%E5%AD%A6+%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x6018c430f4fdb0c1:0xac216e7234d303cd,
春日部福音自由教会 庄和会堂,,https://www.google.com/maps/place/%E6%98%A5%E6%97%A5%E9%83%A8%E7%A6%8F%E9%9F%B3%E8%87%AA%E7%94%B1%E6%95%99%E4%BC%9A+%E5%BA%84%E5%92%8C%E4%BC%9A%E5%A0%82/data=!4m2!3m1!1s0x6018bd4dfd4d484b:0x2abb52142f431d56,
のぞみの教会,,https://www.google.com/maps/place/%E3%81%AE%E3%81%9E%E3%81%BF%E3%81%AE%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018c0c7340ff01b:0xeb6539ee6ffef9f2,
Members Church of God International,,https://www.google.com/maps/place/Members+Church+of+God+International/data=!4m2!3m1!1s0x6018c10433e7c2a9:0x3873004f1296c867,
主の十字架クリスチャンセンター シオン教会,,https://www.google.com/maps/place/%E4%B8%BB%E3%81%AE%E5%8D%81%E5%AD%97%E6%9E%B6%E3%82%AF%E3%83%AA%E3%82%B9%E3%83%81%E3%83%A3%E3%83%B3%E3%82%BB%E3%83%B3%E3%82%BF%E3%83%BC+%E3%82%B7%E3%82%AA%E3%83%B3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60189cc2d8761e03:0xd47b70f21b79b1f9,
LIGHT Church,,https://www.google.com/maps/place/LIGHT+Church/data=!4m2!3m1!1s0x602279c44a883fe9:0x8c604658c7aaf3f3,
千葉高品教会,,https://www.google.com/maps/place/%E5%8D%83%E8%91%89%E9%AB%98%E5%93%81%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x602284d01a240f95:0x17281c5fa78e2360,
クルセイダーズゴスペル教会,,https://www.google.com/maps/place/%E3%82%AF%E3%83%AB%E3%82%BB%E3%82%A4%E3%83%80%E3%83%BC%E3%82%BA%E3%82%B4%E3%82%B9%E3%83%9A%E3%83%AB%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x602281f8fce2afd3:0x64819aa6e92da8b3,
日本基督教団西荒川教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E5%9F%BA%E7%9D%A3%E6%95%99%E5%9B%A3%E8%A5%BF%E8%8D%92%E5%B7%9D%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018889f8344e321:0xc07b822b1a0a583f,
Megumi Bible Church,,https://www.google.com/maps/place/Megumi+Bible+Church/data=!4m2!3m1!1s0x60188dd7aacb2401:0xaa286ec666222924,
Gereja Interdenominasi Injili Indonesia (GIII) Tokyo,,https://www.google.com/maps/place/Gereja+Interdenominasi+Injili+Indonesia+(GIII)+Tokyo/data=!4m2!3m1!1s0x60188dbed8200949:0x2e1d1fbe1818cdd0,
聖路加国際病院礼拝堂,,https://www.google.com/maps/place/%E8%81%96%E8%B7%AF%E5%8A%A0%E5%9B%BD%E9%9A%9B%E7%97%85%E9%99%A2%E7%A4%BC%E6%8B%9D%E5%A0%82/data=!4m2!3m1!1s0x60188969dce9788d:0x2842c92fae60e1b1,
東京聖書教会,,https://www.google.com/maps/place/%E6%9D%B1%E4%BA%AC%E8%81%96%E6%9B%B8%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188eae532bbbfb:0x5e8fa79e3a122c97,
日本基督教団 柴宿教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E5%9F%BA%E7%9D%A3%E6%95%99%E5%9B%A3+%E6%9F%B4%E5%AE%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f88c9aed68074e7:0x1dd6d96203f0f885,
六原キリスト教会,,https://www.google.com/maps/place/%E5%85%AD%E5%8E%9F%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f8f471db5f32b4d:0xa1d45ca4d14b6439,
小岩井キリスト教会,,https://www.google.com/maps/place/%E5%B0%8F%E5%B2%A9%E4%BA%95%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f8579fbf4a27b61:0x49f0197fb78a42cf,
夜越山祈りの家,,https://www.google.com/maps/place/%E5%A4%9C%E8%B6%8A%E5%B1%B1%E7%A5%88%E3%82%8A%E3%81%AE%E5%AE%B6/data=!4m2!3m1!1s0x5f9b8108af337e09:0x91b90dafa0cd1768,
日本キリスト教団 久喜復活教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E5%9B%A3+%E4%B9%85%E5%96%9C%E5%BE%A9%E6%B4%BB%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018c963b35b435f:0xb86247c7117bcfc3,
日本基督教団 菖蒲教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E5%9F%BA%E7%9D%A3%E6%95%99%E5%9B%A3+%E8%8F%96%E8%92%B2%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018cc06f5a6b545:0x99981ec19c6e526,
北秋田恩寵教会,,https://www.google.com/maps/place/%E5%8C%97%E7%A7%8B%E7%94%B0%E6%81%A9%E5%AF%B5%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f9ab98cef3725ed:0x604a793ab4fd5833,
浅虫教会,,https://www.google.com/maps/place/%E6%B5%85%E8%99%AB%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f9b83f1133bc2f3:0x5f12bb22d152c672,
平川キリスト福音教会,,https://www.google.com/maps/place/%E5%B9%B3%E5%B7%9D%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E7%A6%8F%E9%9F%B3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x5f9b03e5f5f97151:0xe1d6ca7f5db16e09,
クライストコミュニティ北九州チャペル,,https://www.google.com/maps/place/%E3%82%AF%E3%83%A9%E3%82%A4%E3%82%B9%E3%83%88%E3%82%B3%E3%83%9F%E3%83%A5%E3%83%8B%E3%83%86%E3%82%A3%E5%8C%97%E4%B9%9D%E5%B7%9E%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x3543bfaec7c17f4b:0x5278243600591b70,
葛城聖書バプテスト教会,,https://www.google.com/maps/place/%E8%91%9B%E5%9F%8E%E8%81%96%E6%9B%B8%E3%83%90%E3%83%97%E3%83%86%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60012de4b7f38529:0xac552a278e137d9c,
前原キリスト福音教会加布里チャペル,,https://www.google.com/maps/place/%E5%89%8D%E5%8E%9F%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E7%A6%8F%E9%9F%B3%E6%95%99%E4%BC%9A%E5%8A%A0%E5%B8%83%E9%87%8C%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x3541c3f786e26be9:0x7ed321e2ecc545a,
カリスチャペル神路,,https://www.google.com/maps/place/%E3%82%AB%E3%83%AA%E3%82%B9%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB%E7%A5%9E%E8%B7%AF/data=!4m2!3m1!1s0x6000df333ae1699b:0x7eba55c7014f446a,
ライラック チャペル,,https://www.google.com/maps/place/%E3%83%A9%E3%82%A4%E3%83%A9%E3%83%83%E3%82%AF+%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x5f0b2995a2e86449:0xade266af77ad3bae,
The Mission to Seafarers Tomakomai,,https://www.google.com/maps/place/The+Mission+to+Seafarers+Tomakomai/data=!4m2!3m1!1s0x5f7511ec80ac5459:0xe7251fe671ef5a21,
宇陀キリスト集会,,https://www.google.com/maps/place/%E5%AE%87%E9%99%80%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E9%9B%86%E4%BC%9A/data=!4m2!3m1!1s0x6006b39491c20b95:0x22df50f059b0d374,
キリスト愛知教会,,https://www.google.com/maps/place/%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%84%9B%E7%9F%A5%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6003650df234a08b:0x434891bd9c066008,
徳之島イエス之御霊教会,,https://www.google.com/maps/place/%E5%BE%B3%E4%B9%8B%E5%B3%B6%E3%82%A4%E3%82%A8%E3%82%B9%E4%B9%8B%E5%BE%A1%E9%9C%8A%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x34e196bd0783ae37:0x8a18e0efc4bce8b0,
イエス之御霊教会 Spirit of Jesus Church,,https://www.google.com/maps/place/%E3%82%A4%E3%82%A8%E3%82%B9%E4%B9%8B%E5%BE%A1%E9%9C%8A%E6%95%99%E4%BC%9A+Spirit+of+Jesus+Church/data=!4m2!3m1!1s0x6018edf9d4617f93:0xa7385fd52a7c7064,
TICF池袋教会,,https://www.google.com/maps/place/TICF%E6%B1%A0%E8%A2%8B%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188d54008b1227:0xb5a8309c4b2bbc54,
モリヤチャペル Moriah Chapel,,https://www.google.com/maps/place/%E3%83%A2%E3%83%AA%E3%83%A4%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB+Moriah+Chapel/data=!4m2!3m1!1s0x34e51385b5153775:0x31bf8c955b1a712c,
宗教法人 大阪希望教会,,https://www.google.com/maps/place/%E5%AE%97%E6%95%99%E6%B3%95%E4%BA%BA+%E5%A4%A7%E9%98%AA%E5%B8%8C%E6%9C%9B%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000dc3ba12a2a1d:0xa84d6a2075218e06,
Osaka Hope Community,,https://www.google.com/maps/place/Osaka+Hope+Community/data=!4m2!3m1!1s0x6000e1937cb86a85:0xb42d928f1b5eb315,
美濃関めぐみバプテスト教会,,https://www.google.com/maps/place/%E7%BE%8E%E6%BF%83%E9%96%A2%E3%82%81%E3%81%90%E3%81%BF%E3%83%90%E3%83%97%E3%83%86%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60030554b183b743:0x8efc38693de6c6ae,
泉北ニュータウン教会,,https://www.google.com/maps/place/%E6%B3%89%E5%8C%97%E3%83%8B%E3%83%A5%E3%83%BC%E3%82%BF%E3%82%A6%E3%83%B3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000d1da1726f66f:0x21c06bfa1a53dced,
Hija Belmont Church,,https://www.google.com/maps/place/Hija+Belmont+Church/data=!4m2!3m1!1s0x34e5116edf195555:0x87c1167fea6bfa30,
Crossroads Community Church,,https://www.google.com/maps/place/Crossroads+Community+Church/data=!4m2!3m1!1s0x353e65b87c7a2149:0xb75fc28f77d88d5d,
多治見聖書キリスト教会,,https://www.google.com/maps/place/%E5%A4%9A%E6%B2%BB%E8%A6%8B%E8%81%96%E6%9B%B8%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60036beb21c8a9d7:0x54ba57b6088fc021,
復活之キリスト教団完徳学院（往生地教会）,,https://www.google.com/maps/place/%E5%BE%A9%E6%B4%BB%E4%B9%8B%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E5%9B%A3%E5%AE%8C%E5%BE%B3%E5%AD%A6%E9%99%A2%EF%BC%88%E5%BE%80%E7%94%9F%E5%9C%B0%E6%95%99%E4%BC%9A%EF%BC%89/data=!4m2!3m1!1s0x601d871f5ecb8aa9:0xfa068d2e49362e4e,
海浜幕張めぐみ教会,,https://www.google.com/maps/place/%E6%B5%B7%E6%B5%9C%E5%B9%95%E5%BC%B5%E3%82%81%E3%81%90%E3%81%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x602283f1418e1535:0x5e5af5f08cd1fb1e,
河内長野みぎわ教会,,https://www.google.com/maps/place/%E6%B2%B3%E5%86%85%E9%95%B7%E9%87%8E%E3%81%BF%E3%81%8E%E3%82%8F%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000d5434adb4779:0x79622e8571dbdb8e,
エパタ教会,,https://www.google.com/maps/place/%E3%82%A8%E3%83%91%E3%82%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188cf8d560dd6f:0x782905963d55197a,
大阪グレースチャーチ,,https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E3%82%B0%E3%83%AC%E3%83%BC%E3%82%B9%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81/data=!4m2!3m1!1s0x60011f4582d8cfb1:0xbf1034da264f8756,
淀川バイブルチャーチ,,https://www.google.com/maps/place/%E6%B7%80%E5%B7%9D%E3%83%90%E3%82%A4%E3%83%96%E3%83%AB%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81/data=!4m2!3m1!1s0x6000e70daa2d4695:0x3ababd7e7ed157ae,
シャローム希望教会,,https://www.google.com/maps/place/%E3%82%B7%E3%83%A3%E3%83%AD%E3%83%BC%E3%83%A0%E5%B8%8C%E6%9C%9B%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000d15838e31e9f:0xf10fcc9bc9ff75f8,
シオン・プレイズ・チャーチ,,https://www.google.com/maps/place/%E3%82%B7%E3%82%AA%E3%83%B3%E3%83%BB%E3%83%97%E3%83%AC%E3%82%A4%E3%82%BA%E3%83%BB%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81/data=!4m2!3m1!1s0x6001087ec89c12dd:0xbd08fc9da0544c16,
葦のかご教会,,https://www.google.com/maps/place/%E8%91%A6%E3%81%AE%E3%81%8B%E3%81%94%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6018f3986e5e92a1:0x945f49ee6d17d022,
シャインチャーチ,,https://www.google.com/maps/place/%E3%82%B7%E3%83%A3%E3%82%A4%E3%83%B3%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81/data=!4m2!3m1!1s0x354191192ec84643:0x846b4b66f766135a,
僕達の賛美教会,,https://www.google.com/maps/place/%E5%83%95%E9%81%94%E3%81%AE%E8%B3%9B%E7%BE%8E%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000e52459649209:0x8fde5e5bef6f31d5,
恵約宣教教会,,https://www.google.com/maps/place/%E6%81%B5%E7%B4%84%E5%AE%A3%E6%95%99%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60188b1f1f472bdd:0x29d700978f77f686,
ｼﾞｮｲﾎｰﾌﾟﾁｬﾍﾟﾙ,,https://www.google.com/maps/place/%EF%BD%BC%EF%BE%9E%EF%BD%AE%EF%BD%B2%EF%BE%8E%EF%BD%B0%EF%BE%8C%EF%BE%9F%EF%BE%81%EF%BD%AC%EF%BE%8D%EF%BE%9F%EF%BE%99/data=!4m2!3m1!1s0x354184c61da05555:0x329267f478c03f67,
大阪愛の教会,,https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E6%84%9B%E3%81%AE%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000dfebe2539c87:0x9d077c31cf47a39,
The Light of Eternal Agape 大阪シオンの山教会,,https://www.google.com/maps/place/The+Light+of+Eternal+Agape+%E5%A4%A7%E9%98%AA%E3%82%B7%E3%82%AA%E3%83%B3%E3%81%AE%E5%B1%B1%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000de0030000001:0xd96b0ec46bdadccc,
大阪みぎわチャペル,,https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E3%81%BF%E3%81%8E%E3%82%8F%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x6000de070a5c0405:0x26bb6b9cd820c33c,
JCSGO Itabashi-ku full Gospel Church,,https://www.google.com/maps/place/JCSGO+Itabashi-ku+full+Gospel+Church/data=!4m2!3m1!1s0x6018ed685b377ef9:0x3490b2d74455e32f,
ジーザスハウス宝塚,,https://www.google.com/maps/place/%E3%82%B8%E3%83%BC%E3%82%B6%E3%82%B9%E3%83%8F%E3%82%A6%E3%82%B9%E5%AE%9D%E5%A1%9A/data=!4m2!3m1!1s0x6000f5ef2d780097:0x7f0d641e530274d0,
神愛 キリスト教会,,https://www.google.com/maps/place/%E7%A5%9E%E6%84%9B+%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60011c08d89ea5e3:0x292dc1aebb856ec,
ライトハウスキリスト教会 (堺市),,https://www.google.com/maps/place/%E3%83%A9%E3%82%A4%E3%83%88%E3%83%8F%E3%82%A6%E3%82%B9%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A+(%E5%A0%BA%E5%B8%82)/data=!4m2!3m1!1s0x6000dc60a0b0774b:0xba328933c38aad1f,
希望の家キリスト教会,,https://www.google.com/maps/place/%E5%B8%8C%E6%9C%9B%E3%81%AE%E5%AE%B6%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600131e90d649b57:0xc71d62bb06b96677,
興戸キリスト教会,,https://www.google.com/maps/place/%E8%88%88%E6%88%B8%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600117a7392b0dd9:0x9cb1e26f6bb12a7d,
大阪キリスト教会,,https://www.google.com/maps/place/%E5%A4%A7%E9%98%AA%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000e770894b5e51:0x2eef7869aa6a054a,
プロテスダント・キリスト教会,,https://www.google.com/maps/place/%E3%83%97%E3%83%AD%E3%83%86%E3%82%B9%E3%83%80%E3%83%B3%E3%83%88%E3%83%BB%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000dcf10e5db7f3:0x7d80f58f1a244f78,
交野キリスト教会,,https://www.google.com/maps/place/%E4%BA%A4%E9%87%8E%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60011947c11a2461:0x92f7528229b4e792,
山の街キリスト教会,,https://www.google.com/maps/place/%E5%B1%B1%E3%81%AE%E8%A1%97%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600089c274ef9cc1:0x84fa94887f6a8f82,
箕面コイノニアキリスト教会,,https://www.google.com/maps/place/%E7%AE%95%E9%9D%A2%E3%82%B3%E3%82%A4%E3%83%8E%E3%83%8B%E3%82%A2%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x6000fa54661fbf59:0xf1dac9e4d4b73f3a,
洛西ミズラ教会,,https://www.google.com/maps/place/%E6%B4%9B%E8%A5%BF%E3%83%9F%E3%82%BA%E3%83%A9%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600106a6cd4e3bfb:0xe3b361e1023de47e,
城陽キリスト栄光教会,,https://www.google.com/maps/place/%E5%9F%8E%E9%99%BD%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%A0%84%E5%85%89%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600110ce708f72cf:0x7b6c3a3263907b81,
主イエスキリスト京都教会,,https://www.google.com/maps/place/%E4%B8%BB%E3%82%A4%E3%82%A8%E3%82%B9%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E4%BA%AC%E9%83%BD%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x600105b992d76a81:0x22adedf6fad92ff2,
城陽キリスト恵み教会,,https://www.google.com/maps/place/%E5%9F%8E%E9%99%BD%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%81%B5%E3%81%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60011730d74b4141:0x186441e86885426c,
高槻キリスト恵み教会,,https://www.google.com/maps/place/%E9%AB%98%E6%A7%BB%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%81%B5%E3%81%BF%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60011dfbcf88db51:0x658ad464e18c99fa,
日本メノナイトブレザレン教団 枚方キリスト教会,,https://www.google.com/maps/place/%E6%97%A5%E6%9C%AC%E3%83%A1%E3%83%8E%E3%83%8A%E3%82%A4%E3%83%88%E3%83%96%E3%83%AC%E3%82%B6%E3%83%AC%E3%83%B3%E6%95%99%E5%9B%A3+%E6%9E%9A%E6%96%B9%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60011c9db8dbc5dd:0xdf96e709d26a3d33,
雲井キリスト福音教会,,https://www.google.com/maps/place/%E9%9B%B2%E4%BA%95%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E7%A6%8F%E9%9F%B3%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x60015db71d4aeb9f:0x5f2eaf66a06122fe,
Igreja Vida Nova,,https://www.google.com/maps/place/Igreja+Vida+Nova/data=!4m2!3m1!1s0x6004d28dddd34a11:0xf5cc40f432a735fd,
Missao evangelica berresna,,https://www.google.com/maps/place/Missao+evangelica+berresna/data=!4m2!3m1!1s0x6004cc0c5baed935:0x5b9a11148f82d5dc,
プロテスタント・キリスト教会 Lighthouse(ライトハウス),,https://www.google.com/maps/place/%E3%83%97%E3%83%AD%E3%83%86%E3%82%B9%E3%82%BF%E3%83%B3%E3%83%88%E3%83%BB%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A+Lighthouse(%E3%83%A9%E3%82%A4%E3%83%88%E3%83%8F%E3%82%A6%E3%82%B9)/data=!4m2!3m1!1s0x6004d7d57889791b:0x5d5ac8d4c1b14a4f,
つくばハーベストチャペル,,https://www.google.com/maps/place/%E3%81%A4%E3%81%8F%E3%81%B0%E3%83%8F%E3%83%BC%E3%83%99%E3%82%B9%E3%83%88%E3%83%81%E3%83%A3%E3%83%9A%E3%83%AB/data=!4m2!3m1!1s0x6022097e77b32fab:0xc7b3c3ddaad6b84a,
春日部グレイスチャーチ,,https://www.google.com/maps/place/%E6%98%A5%E6%97%A5%E9%83%A8%E3%82%B0%E3%83%AC%E3%82%A4%E3%82%B9%E3%83%81%E3%83%A3%E3%83%BC%E3%83%81/data=!4m2!3m1!1s0x6018b9cb1dfefdb3:0x5d47af31aaa1749c,
ユニバーサルキリスト教会群馬支部,,https://www.google.com/maps/place/%E3%83%A6%E3%83%8B%E3%83%90%E3%83%BC%E3%82%B5%E3%83%AB%E3%82%AD%E3%83%AA%E3%82%B9%E3%83%88%E6%95%99%E4%BC%9A%E7%BE%A4%E9%A6%AC%E6%94%AF%E9%83%A8/data=!4m2!3m1!1s0x601f26eb141a28ef:0x1bcf43358bd079f0,
教会,,https://www.google.com/maps/place/%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601f676c0ce2cdb3:0x774ccd02fc395926,
松戸栄光教会,,https://www.google.com/maps/place/%E6%9D%BE%E6%88%B8%E6%A0%84%E5%85%89%E6%95%99%E4%BC%9A/data=!4m2!3m1!1s0x601885ce7dd55979:0x24e4fa11ce289d68,
