ID,People,Country,Language,Religion,Indigenous,10/40 Window,PeopleID3,Rog3,Frontier,PopulationRange,% Adherents Source,% Christian Adherents ,Population,Workers Needed
10384SU,"Kadaru, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10384,SU,Y,1,0.00%,0.00%,54000,1
10387SU,"Mararit, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10387,SU,Y,2,0.00%,0.00%,116000,2
10388SU,"Midob, Tidda Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10388,SU,Y,2,0.00%,0.00%,100000,2
10390SU,"Tagale, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10390,SU,Y,2,0.00%,0.00%,113000,2
10394SU,"Zaghawa, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10394,SU,Y,2,0.00%,0.00%,153000,3
10395TS,"Bedouin, Rabiya",Tunisia,"Arabic, Tunisian Spoken",Islam,Yes,Yes,10395,TS,Y,1,1.00%,0.01%,1300,1
10375BY,Arab,Burundi,"Arabic, North Levantine Spoken",Islam,No,No,10375,BY,Y,1,0.00%,0.00%,3400,1
10375CE,Arab,Sri Lanka,"Arabic, Mesopotamian Spoken",Islam,No,Yes,10375,CE,Y,1,0.00%,0.00%,5200,1
10375CN,Arab,Comoros,"Comorian, Maore",Islam,No,No,10375,CN,Y,1,0.00%,0.00%,900,1
10375IN,Arab,India,"Arabic, Mesopotamian Spoken",Islam,No,Yes,10375,IN,Y,1,0.00%,0.00%,2600,1
10375PK,Arab,Pakistan,"Arabic, Mesopotamian Spoken",Islam,No,Yes,10375,PK,Y,1,0.00%,0.00%,4800,1
10378AE,"Arab, Omani",United Arab Emirates,"Arabic, Omani Spoken",Islam,No,Yes,10378,AE,Y,2,0.00%,0.00%,306000,6
10378KU,"Arab, Omani",Kuwait,"Arabic, Omani Spoken",Islam,No,Yes,10378,KU,Y,1,10.00%,0.10%,21000,1
10378MU,"Arab, Omani",Oman,"Arabic, Omani Spoken",Islam,Yes,Yes,10378,MU,Y,4,0.10%,0.00%,2213000,44
10378YM,"Arab, Omani",Yemen,"Arabic, Omani Spoken",Islam,No,Yes,10378,YM,Y,2,10.00%,0.10%,154000,3
10379AG,"Algerian, Arabic-speaking",Algeria,"Arabic, Algerian Spoken",Islam,Yes,Yes,10379,AG,Y,5,0.90%,0.01%,31810000,636
10379EG,"Algerian, Arabic-speaking",Egypt,"Arabic, Algerian Spoken",Islam,No,Yes,10379,EG,Y,4,1.90%,0.02%,1875000,37
10379LY,"Algerian, Arabic-speaking",Libya,"Arabic, Algerian Spoken",Islam,No,Yes,10379,LY,Y,2,10.00%,0.10%,298000,6
10379SW,"Algerian, Arabic-speaking",Sweden,"Arabic, Algerian Spoken",Islam,No,No,10379,SW,Y,1,0.00%,0.00%,2400,1
10379US,"Algerian, Arabic-speaking",United States,"Arabic, Algerian Spoken",Islam,No,No,10379,US,Y,1,0.00%,0.00%,60000,1
10379UV,"Algerian, Arabic-speaking",Burkina Faso,"Arabic, Algerian Spoken",Islam,No,Yes,10379,UV,Y,1,3.90%,0.04%,22000,1
10414IS,"Arbil, Lishanid Noshan",Israel,Inter-Zab Jewish Neo-Aramaic,Ethnic Religions,Yes,Yes,10414,IS,Y,1,0.00%,0.00%,3600,1
10416RS,"Archi, Archintsy",Russia,Archi,Islam,Yes,No,10416,RS,Y,1,0.00%,0.00%,2100,1
10419VM,Arem,Vietnam,Arem,Ethnic Religions,Yes,Yes,10419,VM,Y,1,0.00%,0.00%,100,1
10435WI,"Bedouin, Arosien",Western Sahara,Hassaniyya,Islam,Yes,Yes,10435,WI,Y,1,0.00%,0.00%,7900,1
10449NG,"Tuareg, Arabized",Niger,"Arabic, Algerian Spoken",Islam,Yes,Yes,10449,NG,Y,1,0.00%,0.00%,16000,1
10453AF,"Nuristani, Ashkuni",Afghanistan,Ashkun,Islam,Yes,Yes,10453,AF,Y,1,0.00%,0.00%,49000,1
10461BT,Assamese (Muslim traditions),Bhutan,Assamese,Islam,No,Yes,10461,BT,Y,1,0.00%,0.00%,2000,1
10461IN,Assamese (Muslim traditions),India,Assamese,Islam,Yes,Yes,10461,IN,Y,4,0.00%,0.00%,2708000,54
10465IR,Astiani,Iran,Ashtiani,Islam,Yes,Yes,10465,IR,Y,1,0.00%,0.00%,27000,1
10476NP,Ath Pahariya,Nepal,Athpariya,Hinduism,Yes,Yes,10476,NP,Y,1,0.00%,0.00%,5800,1
10480BR,Waimiri-Atroari,Brazil,Waimiri-Atroari,Ethnic Religions,Yes,No,10480,BR,Y,1,10.00%,0.10%,2000,1
10482MO,"Berber, Atta",Morocco,"Tamazight, Central Atlas",Islam,Yes,Yes,10482,MO,Y,2,2.00%,0.02%,153000,3
10495AJ,Avar,Azerbaijan,Avar,Islam,Yes,Yes,10495,AJ,Y,1,0.00%,0.00%,54000,1
10495GG,Avar,Georgia,Avar,Islam,No,No,10495,GG,Y,1,0.00%,0.00%,1900,1
10495KZ,Avar,Kazakhstan,Avar,Islam,No,Yes,10495,KZ,Y,1,0.00%,0.00%,1400,1
10495RS,"Avar, Dagestani",Russia,Avar,Islam,Yes,No,10495,RS,Y,3,0.70%,0.01%,779000,16
10495TX,Avar,Turkmenistan,Avar,Islam,No,Yes,10495,TX,Y,1,0.00%,0.00%,900,1
10495UP,Avar,Ukraine,Avar,Islam,No,No,10495,UP,Y,1,0.00%,0.00%,1300,1
10495UZ,Avar,Uzbekistan,Avar,Islam,No,Yes,10495,UZ,Y,1,0.00%,0.00%,1300,1
10528AF,Azerbaijani,Afghanistan,"Azerbaijani, North",Islam,No,Yes,10528,AF,Y,1,0.00%,0.00%,13000,1
10528AM,Azerbaijani,Armenia,"Azerbaijani, North",Islam,No,No,10528,AM,Y,1,0.00%,0.00%,15000,1
10528BO,Azerbaijani,Belarus,"Azerbaijani, North",Islam,No,No,10528,BO,Y,1,0.00%,0.00%,6000,1
10528EN,Azerbaijani,Estonia,"Azerbaijani, North",Islam,No,No,10528,EN,Y,1,0.00%,0.00%,900,1
10528GG,Azerbaijani,Georgia,"Azerbaijani, North",Islam,No,No,10528,GG,Y,2,0.00%,0.00%,233000,5
10528KZ,Azerbaijani,Kazakhstan,"Azerbaijani, North",Islam,No,Yes,10528,KZ,Y,1,10.00%,0.10%,99000,2
10528LG,Azerbaijani,Latvia,"Azerbaijani, North",Islam,No,No,10528,LG,Y,1,0.00%,0.00%,2400,1
10528LH,Azerbaijani,Lithuania,"Azerbaijani, North",Islam,No,No,10528,LH,Y,1,0.00%,0.00%,1000,1
10528PK,Azeri,Pakistan,"Azerbaijani, North",Islam,No,Yes,10528,PK,Y,1,0.00%,0.00%,1000,1
10528SW,Azerbaijani,Sweden,"Azerbaijani, North",Islam,No,No,10528,SW,Y,1,0.00%,0.00%,2200,1
10510LY,Awjilah,Libya,Awjilah,Islam,Yes,Yes,10510,LY,Y,1,0.00%,0.00%,2600,1
10511SU,Awlad Hassan,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10511,SU,Y,2,0.00%,0.00%,142000,3
10521IR,Aynallu,Iran,"Azerbaijani, South",Islam,Yes,Yes,10521,IR,Y,1,0.00%,0.00%,6600,1
10522CH,Ainu,China,Ainu,Islam,Yes,Yes,10522,CH,Y,1,0.00%,0.00%,7700,1
10528UP,Azerbaijani,Ukraine,"Azerbaijani, North",Islam,No,No,10528,UP,Y,1,0.00%,0.00%,40000,1
10528UZ,Azerbaijani,Uzbekistan,"Azerbaijani, North",Islam,No,Yes,10528,UZ,Y,1,10.00%,0.10%,60000,1
10533NI,Baangi,Nigeria,Baangi,Ethnic Religions,Yes,Yes,10533,NI,Y,1,0.00%,0.00%,27000,1
10591IR,Bakhtiari,Iran,Bakhtiari,Islam,Yes,Yes,10591,IR,Y,4,0.00%,0.00%,1263000,25
10537CD,Babalia,Chad,"Arabic, Chadian Spoken",Islam,Yes,Yes,10537,CD,Y,1,0.00%,0.00%,12000,1
10549ID,Baduy,Indonesia,Badui,Islam,Yes,Yes,10549,ID,Y,1,1.50%,0.02%,27000,1
10559CT,"Fulani, Bagirmi",Central African Republic,"Fulfulde, Bagirmi",Islam,No,No,10559,CT,Y,2,10.00%,0.10%,214000,4
10560TO,Koussountou,Togo,Bago-Kusuntu,Islam,Yes,No,10560,TO,Y,1,0.00%,0.00%,13000,1
10564BG,Baha'i,Bangladesh,Bengali,Other / Small,Yes,Yes,10564,BG,Y,1,0.00%,0.00%,11000,1
10564IN,Baha'i,India,Hindi,Other / Small,Yes,Yes,10564,IN,Y,1,0.00%,0.00%,12000,1
10564NP,Baha'i,Nepal,Nepali,Other / Small,Yes,Yes,10564,NP,Y,1,0.00%,0.00%,1100,1
10564PK,Baha'i,Pakistan,Sindhi,Other / Small,Yes,Yes,10564,PK,Y,1,0.00%,0.00%,500,1
10568CH,"Baheng, Lipeng",China,Pa-Hng,Ethnic Religions,Yes,Yes,10568,CH,Y,1,0.00%,0.00%,6800,1
10582ID,Bajau,Indonesia,"Bajau, Indonesian",Islam,Yes,Yes,10582,ID,Y,2,3.00%,0.03%,349000,7
10584MY,"Jama Mapun, Sama Mapun",Malaysia,Mapun,Islam,No,Yes,10584,MY,Y,1,0.00%,0.00%,17000,1
10584RP,"Jama Mapun, Bajau Kagayan",Philippines,Mapun,Islam,Yes,No,10584,RP,Y,1,0.00%,0.00%,51000,1
10586SO,Bajuni,Somalia,Swahili,Islam,No,Yes,10586,SO,Y,1,0.00%,0.00%,11000,1
10586TZ,Bajuni,Tanzania,Swahili,Islam,Yes,No,10586,TZ,Y,1,0.00%,0.00%,24000,1
10600ID,Balaesan,Indonesia,Balaesang,Islam,Yes,Yes,10600,ID,Y,1,0.00%,0.00%,6900,1
10606MY,Balinese,Malaysia,Bali,Hinduism,No,Yes,10606,MY,Y,1,0.00%,0.00%,6000,1
10608KZ,Balkar,Kazakhstan,Karachay-Balkar,Islam,No,Yes,10608,KZ,Y,1,0.00%,0.00%,2300,1
10608RS,Balkar,Russia,Karachay-Balkar,Islam,Yes,No,10608,RS,Y,2,4.60%,0.05%,112000,2
10608US,Balkar,United States,Karachay-Balkar,Islam,No,No,10608,US,Y,1,0.00%,0.00%,600,1
10608UZ,Balkar,Uzbekistan,Karachay-Balkar,Islam,No,Yes,10608,UZ,Y,1,0.00%,0.00%,800,1
10637GH,Ligbi,Ghana,Ligbi,Islam,Yes,No,10637,GH,Y,1,2.00%,0.02%,24000,1
10658ID,Banjar,Indonesia,Banjar,Islam,Yes,Yes,10658,ID,Y,4,9.00%,0.09%,4397000,88
10658MY,"Banjarese, Banjar Malay",Malaysia,Malay,Islam,No,Yes,10658,MY,Y,1,0.00%,0.00%,27000,1
10681ID,Baras,Indonesia,Baras,Islam,Yes,Yes,10681,ID,Y,1,0.00%,0.00%,400,1
10685CD,Barein,Chad,Barein,Islam,Yes,Yes,10685,CD,Y,1,0.00%,0.00%,13000,1
10692CD,Barma,Chad,Bagirmi,Islam,Yes,Yes,10692,CD,Y,2,0.90%,0.01%,142000,3
10692NI,Barma,Nigeria,Bagirmi,Islam,No,Yes,10692,NI,Y,1,0.00%,0.00%,5000,1
10700NI,Basa-Gurmana,Nigeria,Basa-Gurmana,Ethnic Religions,Yes,Yes,10700,NI,Y,1,0.00%,0.00%,5000,1
10703PK,"Nuristani, Narisati",Pakistan,Kati,Islam,Yes,Yes,10703,PK,Y,1,0.00%,0.00%,36000,1
10704IR,Bashkardi,Iran,Bashkardi,Islam,Yes,Yes,10704,IR,Y,1,0.00%,0.00%,9000,1
10705KG,Bashkir,Kyrgyzstan,Bashkort,Islam,No,Yes,10705,KG,Y,1,0.00%,0.00%,900,1
10716SU,Batahin,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10716,SU,Y,2,5.00%,0.05%,286000,6
10717MU,Bathari,Oman,"Arabic, Omani Spoken",Islam,Yes,Yes,10717,MU,Y,1,0.00%,0.00%,400,1
10720ID,"Malay, Singkil",Indonesia,Batak Karo,Islam,Yes,Yes,10720,ID,Y,1,0.00%,0.00%,74000,1
10721ID,Mandailing,Indonesia,Batak Mandailing,Islam,Yes,Yes,10721,ID,Y,4,8.90%,0.09%,1259000,25
10765CH,Beidalao,China,Pa-Hng,Ethnic Religions,Yes,Yes,10765,CH,Y,1,1.00%,0.01%,26000,1
10766EG,"Beja, Bedawi",Egypt,Bedawiyet,Islam,Yes,Yes,10766,EG,Y,1,0.00%,0.00%,82000,2
10766ER,"Beja, Hedareb",Eritrea,Bedawiyet,Islam,Yes,Yes,10766,ER,Y,2,0.00%,0.00%,201000,4
10766SU,"Beja, Bedawi",Sudan,Bedawiyet,Islam,Yes,Yes,10766,SU,Y,4,0.00%,0.00%,2326000,47
10721MY,Mandailing,Malaysia,Batak Mandailing,Islam,No,Yes,10721,MY,Y,1,0.00%,0.00%,31000,1
10726ID,Bati,Indonesia,Bati,Islam,Yes,Yes,10726,ID,Y,1,0.00%,0.00%,5500,1
10733CO,Embera-Baudo,Colombia,Embera-Baudo,Ethnic Religions,Yes,No,10733,CO,Y,1,0.00%,0.00%,6600,1
10736BG,Bauri,Bangladesh,Bengali,Hinduism,Yes,Yes,10736,BG,Y,1,0.00%,0.00%,10000,1
10740MY,Bawean,Malaysia,Madura,Islam,No,Yes,10740,MY,Y,1,0.00%,0.00%,57000,1
10745SU,Baygo,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10745,SU,Y,1,0.00%,0.00%,1300,1
10754SU,Bederia,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10754,SU,Y,4,0.00%,0.00%,1010000,20
10758JO,"Arab, Bedouin",Jordan,"Arabic, Eastern Egyptian Bedawi Spoken",Islam,Yes,Yes,10758,JO,Y,4,1.00%,0.01%,1390000,28
10759IZ,"Arab, Saudi - Najdi",Iraq,"Arabic, Najdi Spoken",Islam,No,Yes,10759,IZ,Y,4,0.00%,0.00%,1750000,35
10759JO,"Arab, Saudi - Najdi",Jordan,"Arabic, Najdi Spoken",Islam,No,Yes,10759,JO,Y,2,1.00%,0.01%,104000,2
10759KU,"Arab, Saudi - Najdi",Kuwait,"Arabic, Najdi Spoken",Islam,No,Yes,10759,KU,Y,2,0.00%,0.00%,258000,5
10759MU,"Arab, Saudi - Najdi",Oman,"Arabic, Najdi Spoken",Islam,No,Yes,10759,MU,Y,1,0.00%,0.00%,44000,1
10759NL,"Arab, Saudi - Najdi",Netherlands,"Arabic, Najdi Spoken",Islam,No,No,10759,NL,Y,1,0.00%,0.00%,600,1
10759SY,"Arab, Saudi - Najdi",Syria,"Arabic, Najdi Spoken",Islam,No,Yes,10759,SY,Y,4,0.00%,0.00%,1379000,28
10759US,"Arab, Saudi - Najdi",United States,"Arabic, Najdi Spoken",Islam,No,No,10759,US,Y,1,0.00%,0.00%,5900,1
10770LA,Pala,Laos,Akha,Ethnic Religions,Yes,Yes,10770,LA,Y,1,0.00%,0.00%,5800,1
10772MY,"Belait, Lakiput",Malaysia,Belait,Islam,No,Yes,10772,MY,Y,1,0.00%,0.00%,500,1
10774AG,Belbali,Algeria,Korandje,Islam,Yes,Yes,10774,AG,Y,1,0.00%,0.00%,3700,1
10777ID,Belide,Indonesia,Musi,Islam,Yes,Yes,10777,ID,Y,1,0.00%,0.00%,87000,2
10790FI,"South Asian, Bengali-speaking",Finland,Bengali,Islam,No,No,10790,FI,Y,1,0.00%,0.00%,1600,1
10790FR,"South Asian, Bengali-speaking",France,Bengali,Islam,No,No,10790,FR,Y,1,0.00%,0.00%,32000,1
10790MY,"South Asian, Bengali-speaking",Malaysia,Bengali,Islam,No,Yes,10790,MY,Y,1,0.00%,0.00%,83000,2
10791ID,Bengkulu,Indonesia,"Malay, Central",Islam,Yes,Yes,10791,ID,Y,1,3.30%,0.03%,69000,1
10799ML,"Bedouin, Berabish",Mali,Hassaniyya,Islam,Yes,Yes,10799,ML,Y,1,0.00%,0.00%,51000,1
10799MR,"Bedouin, Berabish",Mauritania,Hassaniyya,Islam,Yes,Yes,10799,MR,Y,1,3.00%,0.03%,70000,1
10801MO,"Berber, Drawa",Morocco,Tachelhit,Islam,Yes,Yes,10801,MO,Y,3,1.00%,0.01%,505000,10
10802MO,"Berber, Filala",Morocco,Tachelhit,Islam,Yes,Yes,10802,MO,Y,2,1.00%,0.01%,379000,8
10803AG,"Berber, Rif",Algeria,Tarifit,Islam,Yes,Yes,10803,AG,Y,1,1.90%,0.02%,3300,1
10803MO,"Berber, Rif",Morocco,Tarifit,Islam,Yes,Yes,10803,MO,Y,4,3.00%,0.03%,1589000,32
10804MO,"Berber, Uregu",Morocco,"Tamazight, Central Atlas",Islam,Yes,Yes,10804,MO,Y,1,2.00%,0.02%,75000,2
10805MO,"Berber, Warain",Morocco,"Tamazight, Central Atlas",Islam,Yes,Yes,10805,MO,Y,2,1.00%,0.01%,329000,7
10806MO,"Berber, Zekara",Morocco,"Tamazight, Central Atlas",Islam,Yes,Yes,10806,MO,Y,1,2.00%,0.02%,76000,2
10810CD,Bernde,Chad,Morom,Islam,Yes,Yes,10810,CD,Y,1,0.00%,0.00%,10000,1
10812SU,Berti,Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10812,SU,Y,2,1.00%,0.01%,345000,7
10824PU,Biafada,Guinea-Bissau,Biafada,Islam,Yes,Yes,10824,PU,Y,1,0.00%,0.00%,59000,1
10828CH,Biao Mien,China,Biao Mon,Ethnic Religions,Yes,Yes,10828,CH,Y,1,9.00%,0.09%,34000,1
10829CH,"Biao Mien, Shikou",China,Biao-Jiao Mien,Ethnic Religions,Yes,Yes,10829,CH,Y,1,0.00%,0.00%,14000,1
10833CD,"Bideyat, Beri",Chad,Zaghawa,Islam,Yes,Yes,10833,CD,Y,1,0.00%,0.00%,9500,1
10833SU,Bideyat,Sudan,Zaghawa,Islam,Yes,Yes,10833,SU,Y,1,0.10%,0.00%,12000,1
10834CD,Bidio,Chad,Bidiyo,Islam,Yes,Yes,10834,CD,Y,1,0.00%,0.00%,61000,1
10839AJ,"Jewish Tat, Mountain Jew",Azerbaijan,Judeo-Tat,Ethnic Religions,Yes,Yes,10839,AJ,Y,1,0.00%,0.00%,15000,1
10839CA,"Jewish Tat, Mountain Jew",Canada,Judeo-Tat,Ethnic Religions,No,No,10839,CA,Y,1,0.00%,0.00%,2100,1
10839IS,"Jewish Tat, Mountain Jew",Israel,Judeo-Tat,Ethnic Religions,No,Yes,10839,IS,Y,1,0.00%,0.00%,74000,1
10839RS,"Jewish Tat, Mountain Jew",Russia,Judeo-Tat,Ethnic Religions,Yes,No,10839,RS,Y,1,0.00%,0.00%,500,1
10839US,"Jewish Tat, Mountain Jew",United States,Judeo-Tat,Ethnic Religions,No,No,10839,US,Y,1,0.00%,0.00%,10000,1
10845CD,Bilala,Chad,Naba,Islam,Yes,Yes,10845,CD,Y,2,0.00%,0.00%,252000,5
10872SU,"Birgid, Arabized",Sudan,"Arabic, Sudanese Spoken",Islam,Yes,Yes,10872,SU,Y,2,0.00%,0.00%,167000,3
10876MY,"Bisaya, Sabah",Malaysia,"Bisaya, Sabah",Islam,Yes,Yes,10876,MY,Y,1,0.00%,0.00%,74000,1
10876US,"Bisaya, Sabah",United States,"Bisaya, Sabah",Islam,No,No,10876,US,Y,1,0.00%,0.00%,14000,1
10877SU,"Beja, Bisharin",Sudan,Bedawiyet,Islam,Yes,Yes,10877,SU,Y,1,0.00%,0.00%,39000,1
10882CH,Bit,China,Bit,Ethnic Religions,Yes,Yes,10882,CH,Y,1,0.00%,0.00%,900,1
10949CM,"Fulani, Nigerian",Cameroon,"Fulfulde, Nigerian",Islam,No,No,10949,CM,Y,2,5.00%,0.05%,111000,2
10949NI,"Fulani, Nigerian",Nigeria,"Fulfulde, Nigerian",Islam,Yes,Yes,10949,NI,Y,5,8.00%,0.08%,17229000,345
10953BK,Bosniak,Bosnia-Herzegovina,Bosnian,Islam,Yes,No,10953,BK,Y,4,3.00%,0.03%,1641000,33
10953CA,Bosniak,Canada,Bosnian,Islam,No,No,10953,CA,Y,1,3.00%,0.03%,92000,2
10902UV,Bobo Madare,Burkina Faso,"Bobo Madare, Southern",Islam,Yes,Yes,10902,UV,Y,2,2.00%,0.02%,261000,5
10908CD,Bokoruge,Chad,"Daju, Dar Sila",Islam,Yes,Yes,10908,CD,Y,2,0.00%,0.00%,101000,2
10908SU,Bokoruge,Sudan,"Daju, Dar Sila",Islam,Yes,Yes,10908,SU,Y,1,0.00%,0.00%,8800,1
10912IN,Bola,India,Hindi,Hinduism,Yes,Yes,10912,IN,Y,1,0.00%,0.00%,3100,1
10913ID,Bolano,Indonesia,Boano,Islam,Yes,Yes,10913,ID,Y,1,9.10%,0.09%,3600,1
10914NI,"Bole, Bolewa",Nigeria,Bole,Islam,Yes,Yes,10914,NI,Y,2,0.00%,0.00%,158000,3
10933ID,Bonerate,Indonesia,Bonerate,Islam,Yes,Yes,10933,ID,Y,1,5.00%,0.05%,15000,1
10945CD,Boor,Chad,Boor,Islam,Yes,Yes,10945,CD,Y,1,0.00%,0.00%,300,1
10949CD,"Fulani, Nigerian",Chad,"Fulfulde, Nigerian",Islam,No,Yes,10949,CD,Y,1,1.90%,0.02%,91000,2
10953FI,Bosniak,Finland,Bosnian,Islam,No,No,10953,FI,Y,1,3.00%,0.03%,1700,1
10953HR,Bosniak,Croatia,Bosnian,Islam,Yes,No,10953,HR,Y,1,2.90%,0.03%,29000,1
10953HU,Bosniak,Hungary,Bosnian,Islam,No,No,10953,HU,Y,1,0.00%,0.00%,19000,1
10953KV,Bosniak,Kosovo,Bosnian,Islam,Yes,No,10953,KV,Y,1,3.00%,0.03%,28000,1
10953SP,Bosniak,Spain,Bosnian,Islam,No,No,10953,SP,Y,1,6.00%,0.06%,1400,1
10953TU,Bosniak,Turkey,Bosnian,Islam,No,Yes,10953,TU,Y,2,10.00%,0.10%,113000,2
10958UV,"Bozo, Tegue",Burkina Faso,"Bozo, Tieyaxo",Islam,No,Yes,10958,UV,Y,1,0.00%,0.00%,3400,1
10959IR,Brahui,Iran,Brahui,Islam,No,Yes,10959,IR,Y,1,0.00%,0.00%,24000,1
10959PK,Brahui,Pakistan,Brahui,Islam,Yes,Yes,10959,PK,Y,4,0.00%,0.00%,2268000,45
10985MY,Buginese,Malaysia,Malay,Islam,Yes,Yes,10985,MY,Y,2,0.00%,0.00%,147000,3
10973BX,Brunei Malay,Brunei,Brunei,Islam,Yes,Yes,10973,BX,Y,2,6.00%,0.06%,186000,4
10981CD,"Buduma, Kuri Islander",Chad,Buduma,Islam,Yes,Yes,10981,CD,Y,2,4.00%,0.04%,136000,3
